instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 11:03:00 UTC,8778.9,8778.9,8776.35,8778.45,0
256265,NIFTY 50,2015-04-13 11:04:00 UTC,8778.6,8779.65,8778,8779.65,0
256265,NIFTY 50,2015-04-13 11:05:00 UTC,8779.65,8779.65,8776.75,8776.8,0
256265,NIFTY 50,2015-04-13 11:06:00 UTC,8776.45,8778.7,8775.9,8778.6,0
256265,NIFTY 50,2015-04-13 11:07:00 UTC,8778.5,8779.05,8777.3,8778.55,0
256265,NIFTY 50,2015-04-13 11:08:00 UTC,8778.05,8779.65,8777.95,8778.7,0
256265,NIFTY 50,2015-04-13 11:09:00 UTC,8779,8779.5,8777.4,8778.25,0
256265,NIFTY 50,2015-04-13 11:10:00 UTC,8778.1,8779.15,8777.55,8778.25,0
256265,NIFTY 50,2015-04-13 11:11:00 UTC,8777.85,8778.3,8776.6,8776.85,0
256265,NIFTY 50,2015-04-13 11:12:00 UTC,8777.05,8777.35,8774.05,8775.25,0
256265,NIFTY 50,2015-04-13 11:13:00 UTC,8775.65,8779.7,8775,8779.65,0
256265,NIFTY 50,2015-04-13 11:14:00 UTC,8779.4,8781.55,8779.4,8779.5,0
256265,NIFTY 50,2015-04-13 11:15:00 UTC,8779.15,8780.05,8777.6,8779.35,0
256265,NIFTY 50,2015-04-13 11:16:00 UTC,8779.6,8780.9,8778.75,8780.7,0
256265,NIFTY 50,2015-04-13 11:17:00 UTC,8780.25,8781,8778.8,8779.7,0
256265,NIFTY 50,2015-04-13 11:18:00 UTC,8779.6,8780.55,8777.85,8778.7,0
256265,NIFTY 50,2015-04-13 11:19:00 UTC,8779.25,8780.75,8778.9,8780.55,0
256265,NIFTY 50,2015-04-13 11:20:00 UTC,8780.75,8782.45,8780.35,8781.85,0
256265,NIFTY 50,2015-04-13 11:21:00 UTC,8781.85,8783.1,8780.65,8780.8,0
256265,NIFTY 50,2015-04-13 11:22:00 UTC,8780.8,8781.35,8779.85,8780.75,0
256265,NIFTY 50,2015-04-13 11:23:00 UTC,8780.5,8781.35,8777.1,8777.55,0
256265,NIFTY 50,2015-04-13 11:24:00 UTC,8777.05,8778,8776.15,8777.1,0
256265,NIFTY 50,2015-04-13 11:25:00 UTC,8776.8,8778.85,8776.8,8777.95,0
256265,NIFTY 50,2015-04-13 11:26:00 UTC,8778.05,8778.85,8777.75,8778.6,0
256265,NIFTY 50,2015-04-13 11:27:00 UTC,8778.45,8779.2,8777.85,8778.35,0
256265,NIFTY 50,2015-04-13 11:28:00 UTC,8778.6,8779.4,8778,8778.6,0
256265,NIFTY 50,2015-04-13 11:29:00 UTC,8778.75,8781.35,8778.35,8778.5,0
256265,NIFTY 50,2015-04-13 11:30:00 UTC,8778.7,8780.1,8778.25,8779.6,0
256265,NIFTY 50,2015-04-13 11:31:00 UTC,8779.55,8781.4,8779.15,8781.1,0
256265,NIFTY 50,2015-04-13 11:32:00 UTC,8781,8781.3,8778.45,8779.3,0
256265,NIFTY 50,2015-04-13 11:33:00 UTC,8779.35,8782.1,8779.1,8781.95,0
256265,NIFTY 50,2015-04-13 11:34:00 UTC,8781.75,8782.15,8780.35,8780.9,0
256265,NIFTY 50,2015-04-13 11:35:00 UTC,8780.85,8782.75,8780.85,8782.15,0
256265,NIFTY 50,2015-04-13 11:36:00 UTC,8782.05,8782.95,8781.3,8782.8,0
256265,NIFTY 50,2015-04-13 11:37:00 UTC,8782.8,8783.55,8780.4,8781.25,0
256265,NIFTY 50,2015-04-13 11:38:00 UTC,8781.55,8783.1,8781.1,8782.3,0
256265,NIFTY 50,2015-04-13 11:39:00 UTC,8782.45,8783,8780.05,8781.1,0
256265,NIFTY 50,2015-04-13 11:40:00 UTC,8781,8783.1,8780.15,8782.4,0
256265,NIFTY 50,2015-04-13 11:41:00 UTC,8781.65,8784.4,8781.65,8784.05,0
256265,NIFTY 50,2015-04-13 11:42:00 UTC,8784.4,8785.35,8782.65,8783.8,0
256265,NIFTY 50,2015-04-13 11:43:00 UTC,8783.45,8786.2,8783.45,8785.7,0
256265,NIFTY 50,2015-04-13 11:44:00 UTC,8785.6,8787.35,8785.6,8786.85,0
256265,NIFTY 50,2015-04-13 11:45:00 UTC,8786.85,8790,8786.85,8789.7,0
256265,NIFTY 50,2015-04-13 11:46:00 UTC,8789.15,8791.4,8789.15,8791.15,0
256265,NIFTY 50,2015-04-13 11:47:00 UTC,8790.85,8791.8,8790,8790.05,0
256265,NIFTY 50,2015-04-13 11:48:00 UTC,8789.6,8791.75,8788.1,8788.75,0
256265,NIFTY 50,2015-04-13 11:49:00 UTC,8788.2,8790,8787.6,8788.4,0
256265,NIFTY 50,2015-04-13 11:50:00 UTC,8788.15,8791.2,8788.05,8789.5,0
256265,NIFTY 50,2015-04-13 11:51:00 UTC,8789.5,8791.35,8789.5,8789.7,0
256265,NIFTY 50,2015-04-13 11:52:00 UTC,8790.15,8791.2,8789.6,8789.6,0
256265,NIFTY 50,2015-04-13 11:53:00 UTC,8790.1,8790.7,8787.35,8787.35,0
256265,NIFTY 50,2015-04-13 11:54:00 UTC,8787.35,8788.3,8786.65,8787.4,0
256265,NIFTY 50,2015-04-13 11:55:00 UTC,8786.45,8789.65,8786.45,8788.35,0
256265,NIFTY 50,2015-04-13 11:56:00 UTC,8788.35,8791.4,8788.35,8789.85,0
256265,NIFTY 50,2015-04-13 11:57:00 UTC,8789.9,8790.35,8788.6,8788.85,0
256265,NIFTY 50,2015-04-13 11:58:00 UTC,8789.15,8794.65,8789.15,8793.75,0
256265,NIFTY 50,2015-04-13 11:59:00 UTC,8793.5,8797.2,8793.5,8796.25,0
256265,NIFTY 50,2015-04-13 12:00:00 UTC,8795.05,8795.25,8793.35,8794.65,0
256265,NIFTY 50,2015-04-13 12:01:00 UTC,8794.35,8797.85,8794.3,8796.25,0
256265,NIFTY 50,2015-04-13 12:02:00 UTC,8796.3,8798.55,8794.7,8798,0
256265,NIFTY 50,2015-04-13 12:03:00 UTC,8797.2,8798.9,8795.5,8795.75,0
256265,NIFTY 50,2015-04-13 12:04:00 UTC,8795.1,8796.9,8794.65,8795.1,0
256265,NIFTY 50,2015-04-13 12:05:00 UTC,8794.6,8798.75,8794.6,8796.5,0
256265,NIFTY 50,2015-04-13 12:06:00 UTC,8795.4,8797.8,8794.45,8797.45,0
256265,NIFTY 50,2015-04-13 12:07:00 UTC,8796.7,8802.45,8796.7,8802.25,0
256265,NIFTY 50,2015-04-13 12:08:00 UTC,8801.9,8803.1,8801.25,8802.7,0
256265,NIFTY 50,2015-04-13 12:09:00 UTC,8802.25,8802.9,8799.5,8799.85,0
256265,NIFTY 50,2015-04-13 12:10:00 UTC,8799.1,8802.15,8799.1,8801.35,0
256265,NIFTY 50,2015-04-13 12:11:00 UTC,8801.15,8804.8,8800.1,8803.6,0
256265,NIFTY 50,2015-04-13 12:12:00 UTC,8803.65,8803.95,8802.65,8803.2,0
256265,NIFTY 50,2015-04-13 12:13:00 UTC,8802.85,8806.05,8802.85,8805.4,0
