,symbol,time,open,high,low,close
41,NIFTY BANK,2015-04-13 09:56:00 UTC,18765.55,18765.55,18760,18763.15
42,NIFTY BANK,2015-04-13 09:57:00 UTC,18763.15,18767.65,18762.35,18766.7
43,NIFTY BANK,2015-04-13 09:58:00 UTC,18766.7,18767,18764,18764.95
44,NIFTY BANK,2015-04-13 09:59:00 UTC,18764.95,18769.15,18762.6,18764.15
45,NIFTY BANK,2015-04-13 10:00:00 UTC,18764.15,18766.6,18757.85,18761.9
46,NIFTY BANK,2015-04-13 10:01:00 UTC,18763.15,18763.15,18757.45,18758.1
47,NIFTY BANK,2015-04-13 10:02:00 UTC,18758.1,18758.1,18752.95,18754.15
48,NIFTY BANK,2015-04-13 10:03:00 UTC,18756.4,18756.4,18747.2,18747.2
49,NIFTY BANK,2015-04-13 10:04:00 UTC,18750.1,18761.05,18746.45,18753.35
50,NIFTY BANK,2015-04-13 10:05:00 UTC,18753.35,18755.25,18746.2,18755.25
51,NIFTY BANK,2015-04-13 10:06:00 UTC,18755.25,18760.85,18755.25,18757.35
52,NIFTY BANK,2015-04-13 10:07:00 UTC,18758.5,18758.5,18751.2,18754.8
53,NIFTY BANK,2015-04-13 10:08:00 UTC,18756.55,18758.7,18746,18746.95
54,NIFTY BANK,2015-04-13 10:09:00 UTC,18746.95,18756.25,18746.95,18754.2
55,NIFTY BANK,2015-04-13 10:10:00 UTC,18754.2,18754.2,18741.8,18744.7
56,NIFTY BANK,2015-04-13 10:11:00 UTC,18744.7,18744.7,18728.8,18730.2
57,NIFTY BANK,2015-04-13 10:12:00 UTC,18730.2,18730.2,18717.1,18719.1
58,NIFTY BANK,2015-04-13 10:13:00 UTC,18719.1,18720.5,18717.2,18719.15
59,NIFTY BANK,2015-04-13 10:14:00 UTC,18719.15,18727.8,18718.3,18727.8
60,NIFTY BANK,2015-04-13 10:15:00 UTC,18727.8,18728.95,18724.85,18724.85
61,NIFTY BANK,2015-04-13 10:16:00 UTC,18729.85,18733.4,18729.85,18730.95
62,NIFTY BANK,2015-04-13 10:17:00 UTC,18730.95,18735.75,18730.8,18730.8
63,NIFTY BANK,2015-04-13 10:18:00 UTC,18730.8,18733.45,18729.8,18729.8
64,NIFTY BANK,2015-04-13 10:19:00 UTC,18730.05,18734.15,18730.05,18732.55
65,NIFTY BANK,2015-04-13 10:20:00 UTC,18732.55,18732.9,18723.7,18724.7
66,NIFTY BANK,2015-04-13 10:21:00 UTC,18724.7,18727.8,18722.9,18725.75
67,NIFTY BANK,2015-04-13 10:22:00 UTC,18725.75,18726.15,18723.75,18726.15
68,NIFTY BANK,2015-04-13 10:23:00 UTC,18726.15,18744.8,18724.5,18735.85
69,NIFTY BANK,2015-04-13 10:24:00 UTC,18735.85,18741.95,18735.15,18740.1
70,NIFTY BANK,2015-04-13 10:25:00 UTC,18740.1,18746.3,18740.1,18741.95
71,NIFTY BANK,2015-04-13 10:26:00 UTC,18741.95,18749,18741.95,18742.45
72,NIFTY BANK,2015-04-13 10:27:00 UTC,18740.5,18744.6,18708.3,18716.4
73,NIFTY BANK,2015-04-13 10:28:00 UTC,18716.4,18729.9,18716.4,18724.1
74,NIFTY BANK,2015-04-13 10:29:00 UTC,18724.1,18732.85,18724.1,18731.55
75,NIFTY BANK,2015-04-13 10:30:00 UTC,18731.55,18735.15,18731.55,18732.35
76,NIFTY BANK,2015-04-13 10:31:00 UTC,18732.35,18744.45,18729.9,18744.45
77,NIFTY BANK,2015-04-13 10:32:00 UTC,18744.45,18746.85,18733.25,18735.75
78,NIFTY BANK,2015-04-13 10:33:00 UTC,18735.75,18739.75,18732.5,18735.6
79,NIFTY BANK,2015-04-13 10:34:00 UTC,18734.25,18743.75,18734.25,18743.75
80,NIFTY BANK,2015-04-13 10:35:00 UTC,18743.75,18759.6,18743.75,18756.65
81,NIFTY BANK,2015-04-13 10:36:00 UTC,18759.4,18761.9,18750.5,18751.35
82,NIFTY BANK,2015-04-13 10:37:00 UTC,18749.65,18758.45,18748.8,18752.25
83,NIFTY BANK,2015-04-13 10:38:00 UTC,18752.25,18759.4,18752.2,18759.4
84,NIFTY BANK,2015-04-13 10:39:00 UTC,18759.4,18762.7,18752.2,18752.2
85,NIFTY BANK,2015-04-13 10:40:00 UTC,18752.15,18758.7,18749,18756.5
86,NIFTY BANK,2015-04-13 10:41:00 UTC,18756.5,18756.5,18744.45,18744.45
87,NIFTY BANK,2015-04-13 10:42:00 UTC,18744.45,18750.8,18744.45,18750.8
88,NIFTY BANK,2015-04-13 10:43:00 UTC,18749.95,18751.5,18746.85,18746.85
89,NIFTY BANK,2015-04-13 10:44:00 UTC,18746.85,18754,18745.45,18745.45
90,NIFTY BANK,2015-04-13 10:45:00 UTC,18745.45,18747.55,18741.25,18741.25
91,NIFTY BANK,2015-04-13 10:46:00 UTC,18741.9,18749.15,18741.9,18747.4
92,NIFTY BANK,2015-04-13 10:47:00 UTC,18747.4,18753,18746.4,18746.55
93,NIFTY BANK,2015-04-13 10:48:00 UTC,18746.55,18757.05,18746.55,18757.05
94,NIFTY BANK,2015-04-13 10:49:00 UTC,18755.95,18759.6,18755.45,18755.45
95,NIFTY BANK,2015-04-13 10:50:00 UTC,18755.45,18757.6,18753,18753.6
96,NIFTY BANK,2015-04-13 10:51:00 UTC,18753.6,18756.6,18751.9,18751.9
97,NIFTY BANK,2015-04-13 10:52:00 UTC,18751.9,18757.05,18749.1,18749.1
